country,gdp_per_capita_2022,gdp_per_capita_2023
Afghanistan,352.6037331,
Albania,6810.114041,8367.775731
Algeria,5023.252932,5260.20625
American Samoa,19673.3901,
Andorra,42350.69707,46544.72072
Angola,2933.484644,2309.52162
Antigua and Barbuda,19919.72669,21560.21533
Argentina,13650.60463,13730.51471
Armenia,7018.051504,8715.765336
Aruba,33300.83882,
Australia,65077.67667,64711.7656
Austria,52084.6812,56505.96828
Azerbaijan,7770.594223,7155.083604
"Bahamas, The",32041.25039,34749.63829
Bahrain,30146.92503,29084.30713
Bangladesh,2687.899063,2529.080127
Barbados,20738.45119,22672.61544
Belarus,7994.648061,7829.053137
Belgium,49942.09064,53475.2935
Belize,6984.21696,7987.585955
Benin,1304.994797,1434.662834
Bermuda,123091.1235,
Bhutan,3704.018395,
Bolivia,3600.121635,3700.978338
Bosnia and Herzegovina,7587.588173,8426.09111
Botswana,7726.110997,7249.799326
Brazil,9065.497334,10043.62392
British Virgin Islands,,
Brunei Darussalam,37152.47697,33430.91848
Bulgaria,13974.44925,15797.59558
Burkina Faso,830.0439659,874.1212804
Burundi,259.0250314,199.5807602
Cabo Verde,3883.911159,4321.579864
Cambodia,1759.608023,1875.071482
Cameroon,1563.48894,1673.648889
Canada,55509.39318,53371.69743
Cayman Islands,96073.76359,
Central African Republic,427.0580962,445.028196
Chad,699.4632545,719.3848752
Channel Islands,64501.27424,
Chile,15411.17395,17093.24197
China,12662.58317,12614.06099
Colombia,6657.086697,6979.725135
Comoros,1484.892465,1587.161896
"Congo, Dem. Rep.",664.5935433,649.1439879
"Congo, Rep.",2649.230634,2508.823395
Costa Rica,13365.3564,16595.37038
Cote d'Ivoire,2491.895934,2728.803246
Croatia,18673.17799,21459.78478
Cuba,,
Curacao,20492.81531,
Cyprus,32048.24805,34701.44141
Czech Republic,27226.61564,30427.42347
Denmark,67790.05399,67967.38187
Djibouti,3278.138696,3606.416896
Dominica,8347.32336,8953.896394
Dominican Republic,10111.24571,10716.01336
Ecuador,6476.644575,6533.351504
Egypt,4295.407496,3512.580065
El Salvador,5048.443973,5344.214394
Equatorial Guinea,8052.256529,7066.616593
Eritrea,,
Estonia,28114.14318,29823.74961
Ethiopia,1027.498631,1293.778008
Faroe Islands,66979.27732,
Fiji,5356.16438,5868.159168
Finland,50734.71075,53755.91174
France,40886.25327,44460.81785
French Polynesia,18984.8511,
Gabon,8820.347338,8420.102057
"Gambia, The",803.808655,843.7657426
